accuracy,f1,auc,accuracy_optimal,f1_optimal,optimal_threshold,method,patch_expert_weight,clip_expert_weight
0.5,0.6666666666666666,0.7336,0.73,0.7476635514018691,0.5129045844078064,cifake,,
0.72,0.7083333333333334,0.7404,0.73,0.7428571428571429,0.49963417649269104,aide,0.4987865909934044,0.5012134164571762
0.5,0.0,0.5356,0.58,0.4878048780487805,0.19064942002296448,zed,,
